CustomerID,CustomerName,CustomerEmail,CustomerPhone,CustomerAddress,MarketTrendID,MarketCategory
1,Adam Peterson,ksilva@douglas.com,0015488188555,"9233 Rice Drives, Saundersstad, AZ 90290",9,High
2,Alexis Fleming,olsonrobin@bullock.com,+16536180333005,"171 Johnson Centers Suite 059, Stevenhaven, RI 97518",4,Low
3,Lisa Green,leewelch@hotmail.com,00167397830359736,"PSC 6045, Box 9515, APO AA 03896",4,Low
4,Veronica Hunt,xroberson@yahoo.com,718232315977044,"1947 Amy Bridge, Nicoleland, GA 96264",4,Low
5,Tammy Burke,seanwiley@gmail.com,0018790828733,"2654 Angela Drive Apt. 403, West Sarahfort, CO 06983",8,High
6,Zachary Burnett,colelindsey@hotmail.com,+11434933938,"PSC 4278, Box 3669, APO AE 39169",2,Low
7,Gerald Wilson,hpowell@yahoo.com,98681160432577,"3685 Luna Point, Port Rachel, MN 19095",1,Low
8,Kayla Boyd,alexandergarcia@lawrence-allen.com,2928875083181,"6149 Jasmine Passage Suite 626, South Keithhaven, WI 45211",1,Low
9,Sara Hill,robert92@spencer.info,064212278905861,"PSC 9588, Box 8481, APO AA 03064",5,Low
10,Sarah Hernandez,monica90@jones-cohen.com,7200436190,"469 William Trail Suite 052, Lake Hectorview, KS 69260",5,Low
11,Carrie Gilbert,butlercatherine@duffy-brown.info,2445305450,"Unit 9899 Box 6105, DPO AP 34703",1,Low
12,Deanna Martin,deborah56@yahoo.com,5328671904,"12394 Walter Springs, West Stephanie, AZ 75992",9,High
13,Lauren Lewis,thomasdwayne@gmail.com,+18692210311642,"8747 Mcpherson Garden Suite 287, North Edwin, VT 57582",10,High
14,Ryan Brooks,dhill@thomas.biz,+12098840474,"6771 Richard Squares, West Jessica, WY 89766",7,High
15,Julia Russell,wwolf@gomez-cortez.net,+11469322757685,"908 Christopher Plaza, Martinezton, RI 38899",1,Low
16,William Howell,georgechambers@gmail.com,6056208834498,"48749 Price Fields, East Laurabury, VT 51205",3,Low
17,Sydney Greene,lawsonpaige@yahoo.com,+19683087729,"004 Burns Viaduct Apt. 515, Amandatown, GA 47030",6,High
18,Jeffrey Owens,dflores@hotmail.com,3752569809,"0570 Benjamin Light, Anthonystad, NJ 27977",4,Low
19,Patrick Garza,michaela19@crosby.info,+19173250438,"09531 Shannon Points, Feliciaside, MI 57419",3,Low
20,Benjamin Dean,anthonysims@sanford.org,6082992475013,"USNV Ward, FPO AA 97774",4,Low
21,Laurie Allen DVM,wilkersonnatalie@hotmail.com,3018783664,"5856 Jennifer Stravenue Suite 365, Ginashire, MN 02508",6,High
22,Nicole Malone,davidadams@hotmail.com,671646157152785,"979 Stein Fall, Emilyborough, MI 30397",2,Low
23,Michael Byrd,brendasmith@gmail.com,7480275361,"419 Adams Rue, Tiffanybury, AR 16743",1,Low
24,Ross Jones,joannamatthews@mosley.com,4037023559079,"074 Allen Estate Apt. 910, Lucasborough, DE 84966",2,Low
25,Dennis Horton,cpowers@yahoo.com,+156121621267320,"PSC 5777, Box 6237, APO AP 87593",2,Low
26,Megan Pineda,jessechoi@yahoo.com,00123649627148054,"148 Waters Isle, North Andrea, ID 66307",8,High
27,Tanner Waters,tina97@gmail.com,39013218753224,"45512 Sharon Stravenue, Pattersonchester, OR 02990",2,Low
28,Lisa Hoffman,smithrichard@kent.com,00136998509638235,"679 Katherine Knolls Apt. 301, Smithstad, ID 93395",2,Low
29,Robert Grant,michelemendoza@gmail.com,0097926250,"PSC 7243, Box 0446, APO AE 79499",6,High
30,Kristi Collier,cheyenne29@mathews.com,001386325876221636,"68981 Davis Cove Suite 888, Port Anneberg, NM 07431",8,High
31,Ruth Edwards,boydadam@williams-barnes.info,7148251874,"2703 Armstrong Turnpike Apt. 616, East James, CA 72486",8,High
32,Aaron Fry,jeremiahhorn@melendez.net,0934794064,"717 Patrick Path, Johnsonchester, LA 28987",6,High
33,Jaime Anderson,kristenwilliams@gmail.com,2221976721,"43850 Reed Isle, Davisland, AK 45480",7,High
34,Kelly Anderson,kirkthomas@hotmail.com,69293394142586,"320 Walker Valleys Suite 887, East Dana, LA 15004",4,Low
35,Rhonda Hudson,gilbertchristian@yahoo.com,245387973430931,"9907 Huang Ford, Kristytown, IA 30717",6,High
36,Gary Davis,tararodriguez@henry.biz,2349958298,"4359 Kelly Course Suite 646, South Charles, SD 83328",3,Low
37,Kristie Jones,vlong@rodriguez.org,7467479441,"7487 Larry Groves Suite 121, Carrietown, NH 46843",2,Low
38,Jason Gilbert,robertberry@gmail.com,+1428640152797212,"76535 Gregory Trail, East Jeffreyland, MA 91083",4,Low
39,Sarah Stanley,campbellfelicia@willis-alexander.info,+11185398564,"1565 Jack Harbors Apt. 086, Kennedyberg, TX 81933",5,Low
40,Whitney Williams,drodriguez@matthews.com,+16936937935398,"201 Darlene Lights, North Valerie, ME 49311",6,High
41,Theresa Gonzalez,andrew15@acosta.com,1967814642024,"827 Taylor Green Apt. 957, South Danielle, AR 77795",4,Low
42,Emily Johnson,marcgonzalez@miller-mccoy.com,05566686125441,"PSC 8326, Box 7370, APO AP 12755",5,Low
43,Francisco Powell,tammyhuynh@gmail.com,6592800827,"676 Mitchell Cliff, New Jeanburgh, AZ 45042",6,High
44,Thomas Braun,patrick97@hotmail.com,526102188946557,"53675 Hines Expressway Apt. 463, New Gregory, TX 88789",8,High
