CustomerID,CustomerName,CustomerEmail,CustomerPhone,CustomerAddress,MarketTrendID
1,Adam Peterson,ksilva@douglas.com,001-548-818-8555,"9233 Rice Drives
Saundersstad, AZ 90290",9
2,Alexis Fleming,olsonrobin@bullock.com,+1-653-618-0333x005,"171 Johnson Centers Suite 059
Stevenhaven, RI 97518",4
3,Lisa Green,leewelch@hotmail.com,001-673-978-3035x9736,"PSC 6045, Box 9515
APO AA 03896",4
4,Veronica Hunt,xroberson@yahoo.com,718-232-3159x77044,"1947 Amy Bridge
Nicoleland, GA 96264",4
5,Tammy Burke,seanwiley@gmail.com,001-879-082-8733,"2654 Angela Drive Apt. 403
West Sarahfort, CO 06983",8
6,Zachary Burnett,colelindsey@hotmail.com,+1-143-493-3938,"PSC 4278, Box 3669
APO AE 39169",2
7,Gerald Wilson,hpowell@yahoo.com,986.811.6043x2577,"3685 Luna Point
Port Rachel, MN 19095",1
8,Kayla Boyd,alexandergarcia@lawrence-allen.com,292-887-5083x181,"6149 Jasmine Passage Suite 626
South Keithhaven, WI 45211",1
9,Sara Hill,robert92@spencer.info,064-212-2789x05861,"PSC 9588, Box 8481
APO AA 03064",5
10,Sarah Hernandez,monica90@jones-cohen.com,720.043.6190,"469 William Trail Suite 052
Lake Hectorview, KS 69260",5
11,Carrie Gilbert,butlercatherine@duffy-brown.info,2445305450,"Unit 9899 Box 6105
DPO AP 34703",1
12,Deanna Martin,deborah56@yahoo.com,532.867.1904,"12394 Walter Springs
West Stephanie, AZ 75992",9
13,Lauren Lewis,thomasdwayne@gmail.com,+1-869-221-0311x642,"8747 Mcpherson Garden Suite 287
North Edwin, VT 57582",10
14,Ryan Brooks,dhill@thomas.biz,+1-209-884-0474,"6771 Richard Squares
West Jessica, WY 89766",7
15,Julia Russell,wwolf@gomez-cortez.net,+1-146-932-2757x685,"908 Christopher Plaza
Martinezton, RI 38899",1
16,William Howell,georgechambers@gmail.com,605-620-8834x498,"48749 Price Fields
East Laurabury, VT 51205",3
17,Sydney Greene,lawsonpaige@yahoo.com,+1-968-308-7729,"004 Burns Viaduct Apt. 515
Amandatown, GA 47030",6
